episode,episode_length,episode_return
0,250,-100
1,250,-80
2,250,-56
3,250,-18
4,250,-18
5,250,0
6,250,0
7,250,-6
8,250,-16
9,237,11
10,222,14
11,250,4
12,220,6
13,193,21
14,209,27
15,218,34
16,234,32
17,203,39
18,239,15
19,248,18
20,220,40
21,231,25
22,224,26
23,250,22
24,246,14
25,205,19
26,211,27
27,242,30
28,247,27
29,221,25
30,216,44
31,203,45
32,210,38
33,210,14
34,226,18
35,214,34
36,154,38
37,234,30
38,196,48
39,239,27
40,203,21
41,200,34
42,193,31
43,220,20
44,62,16
