episode,state,action,agent_rule,env_rule,episode_return
0,"((3, 1, 2), 2, 2)",0,2,2,-58
0,"((0, 3, 1), 3, 0)",0,3,2,-59
0,"((1, 2, 3), 2, 1)",1,2,2,-58
0,"((2, 0, 1), 3, 0)",0,3,2,-59
0,"((0, 3, 2), 2, 1)",1,2,2,-58
0,"((2, 1, 3), 0, 0)",0,0,2,-59
0,"((0, 2, 1), 1, 0)",1,1,2,-60
0,"((0, 1, 2), 2, 1)",1,2,2,-59
0,"((2, 1, 0), 0, 0)",0,0,2,-60
0,"((0, 3, 1), 1, 0)",1,1,2,-61
0,"((2, 1, 0), 1, 0)",3,1,2,-62
0,"((2, 1, 3), 2, 1)",0,2,2,-61
0,"((2, 0, 3), 3, 0)",0,3,2,-62
0,"((1, 0, 3), 3, 0)",1,3,2,-63
0,"((2, 1, 3), 1, 0)",0,1,2,-64
0,"((3, 0, 1), 1, 0)",1,1,2,-65
0,"((1, 0, 3), 2, 1)",1,2,2,-64
0,"((3, 1, 0), 1, 0)",0,1,2,-65
0,"((0, 2, 3), 2, 1)",0,2,2,-64
0,"((1, 2, 3), 0, 0)",0,0,2,-65
0,"((2, 1, 0), 1, 0)",2,1,2,-66
0,"((2, 3, 1), 2, 1)",0,2,2,-65
0,"((0, 3, 2), 3, 0)",0,3,2,-66
0,"((3, 2, 0), 3, 0)",1,3,2,-67
0,"((3, 1, 0), 3, 0)",1,3,2,-68
0,"((2, 0, 3), 2, 1)",0,2,2,-67
0,"((1, 2, 3), 1, 0)",0,1,2,-68
0,"((0, 2, 3), 0, 0)",1,0,2,-69
0,"((0, 3, 1), 1, 0)",2,1,2,-70
0,"((2, 0, 3), 0, 0)",0,0,2,-71
0,"((2, 3, 1), 1, 0)",0,1,2,-72
0,"((2, 0, 1), 3, 0)",0,3,2,-73
0,"((3, 1, 2), 2, 1)",1,2,2,-72
0,"((1, 0, 3), 3, 0)",0,3,2,-73
0,"((2, 0, 3), 0, 0)",1,0,2,-74
0,"((1, 3, 2), 3, 0)",1,3,2,-75
0,"((2, 0, 3), 0, 0)",1,0,2,-76
0,"((3, 0, 2), 0, 0)",2,0,2,-77
0,"((2, 0, 1), 3, 0)",1,3,2,-78
0,"((0, 2, 3), 2, 1)",1,2,2,-77
0,"((2, 3, 1), 3, 0)",1,3,2,-78
0,"((2, 1, 0), 3, 0)",0,3,2,-79
0,"((3, 0, 1), 2, 1)",0,2,2,-78
0,"((2, 0, 3), 2, 2)",1,2,2,-77
0,"((1, 3, 2), 1, 0)",0,1,2,-78
0,"((2, 3, 1), 3, 0)",0,3,2,-79
0,"((1, 3, 2), 2, 1)",1,2,2,-78
0,"((0, 2, 3), 3, 0)",0,3,2,-79
0,"((3, 1, 0), 0, 0)",0,0,2,-80
0,"((1, 0, 2), 2, 1)",0,2,2,-79
0,"((1, 3, 0), 1, 0)",0,1,2,-80
0,"((1, 2, 3), 2, 1)",0,2,2,-79
0,"((0, 3, 1), 0, 0)",1,0,2,-80
0,"((3, 2, 0), 0, 0)",0,0,2,-81
0,"((1, 0, 3), 2, 1)",0,2,2,-80
0,"((1, 3, 0), 0, 0)",1,0,2,-81
0,"((0, 1, 3), 2, 1)",0,2,2,-80
0,"((2, 1, 0), 0, 0)",0,0,2,-81
0,"((1, 0, 2), 0, 0)",2,0,2,-82
0,"((2, 3, 1), 1, 0)",0,1,2,-83
0,"((0, 1, 2), 2, 1)",1,2,2,-82
0,"((1, 0, 2), 1, 0)",1,1,2,-83
0,"((1, 3, 0), 1, 0)",0,1,2,-84
0,"((0, 1, 3), 2, 1)",0,2,2,-83
0,"((0, 3, 1), 1, 0)",1,1,2,-84
0,"((2, 0, 1), 2, 1)",1,2,2,-83
0,"((2, 3, 1), 1, 0)",0,1,2,-84
0,"((3, 2, 1), 2, 1)",1,2,2,-83
0,"((1, 0, 3), 3, 0)",0,3,2,-84
0,"((0, 2, 1), 3, 0)",2,3,2,-85
0,"((2, 3, 1), 2, 1)",1,2,2,-84
0,"((2, 1, 0), 2, 2)",1,2,2,-83
0,"((0, 1, 3), 2, 3)",0,2,2,-82
0,"((3, 1, 0), 0, 0)",0,0,2,-83
0,"((3, 0, 2), 2, 1)",0,2,2,-82
0,"((2, 0, 3), 1, 0)",0,1,2,-83
0,"((0, 2, 1), 1, 0)",0,1,2,-84
0,"((0, 2, 3), 2, 1)",1,2,2,-83
0,"((2, 1, 3), 1, 0)",2,1,2,-84
0,"((1, 0, 3), 0, 0)",2,0,2,-85
0,"((0, 3, 2), 0, 0)",1,0,2,-86
0,"((3, 1, 2), 0, 0)",0,0,2,-87
0,"((2, 3, 0), 1, 0)",1,1,2,-88
0,"((0, 2, 1), 0, 0)",2,0,2,-89
0,"((0, 2, 3), 2, 1)",1,2,2,-88
0,"((2, 3, 1), 2, 2)",3,2,2,-87
0,"((0, 2, 1), 3, 0)",0,3,2,-88
0,"((2, 0, 3), 2, 1)",1,2,2,-87
0,"((1, 2, 0), 3, 0)",1,3,2,-88
0,"((0, 1, 3), 1, 0)",2,1,2,-89
0,"((1, 3, 2), 0, 0)",0,0,2,-90
0,"((1, 0, 2), 2, 1)",2,2,2,-89
0,"((1, 2, 0), 0, 0)",1,0,2,-90
0,"((1, 0, 3), 2, 1)",0,2,2,-89
0,"((3, 0, 1), 3, 0)",2,3,2,-90
0,"((1, 2, 0), 1, 0)",0,1,2,-91
0,"((2, 0, 3), 2, 1)",0,2,2,-90
0,"((2, 3, 1), 0, 0)",2,0,2,-91
0,"((1, 0, 3), 2, 1)",1,2,2,-90
0,"((2, 0, 1), 2, 2)",3,2,0,-89
0,"((2, 0, 3), 1, 0)",0,1,0,-90
0,"((2, 0, 1), 3, 0)",1,3,0,-91
0,"((2, 1, 3), 2, 0)",1,2,0,-92
0,"((3, 1, 2), 1, 0)",1,1,0,-93
0,"((0, 3, 1), 2, 0)",2,2,0,-94
0,"((3, 1, 0), 0, 1)",0,0,0,-93
0,"((3, 2, 0), 3, 0)",2,3,0,-94
0,"((3, 1, 0), 1, 0)",2,1,0,-95
0,"((1, 2, 0), 2, 0)",0,2,0,-96
0,"((3, 0, 2), 2, 0)",0,2,0,-97
0,"((2, 0, 3), 1, 0)",0,1,0,-98
0,"((0, 2, 3), 0, 1)",2,0,0,-97
0,"((1, 2, 0), 0, 2)",0,0,0,-96
0,"((1, 0, 2), 2, 0)",0,2,0,-97
0,"((3, 0, 1), 1, 0)",0,1,0,-98
0,"((1, 3, 2), 3, 0)",2,3,0,-99
0,"((1, 0, 2), 2, 0)",2,2,0,-100
0,"((2, 3, 1), 0, 1)",1,0,0,-99
0,"((0, 1, 3), 3, 0)",0,3,0,-100
0,"((1, 2, 0), 2, 0)",3,2,0,-101
0,"((0, 1, 2), 0, 1)",1,0,0,-100
0,"((0, 1, 3), 0, 2)",0,0,2,-99
0,"((3, 0, 1), 0, 0)",0,0,2,-100
0,"((0, 3, 1), 1, 0)",0,1,2,-101
0,"((2, 1, 0), 2, 1)",1,2,2,-100
0,"((2, 3, 1), 2, 2)",0,2,1,-99
0,"((1, 2, 3), 2, 0)",1,2,1,-100
0,"((2, 3, 0), 0, 0)",1,0,1,-101
0,"((0, 2, 1), 1, 1)",3,1,1,-100
0,"((1, 2, 0), 1, 2)",2,1,2,-99
0,"((1, 2, 3), 2, 3)",0,2,1,-98
0,"((0, 1, 2), 3, 0)",0,3,1,-99
0,"((2, 1, 3), 0, 0)",0,0,1,-100
0,"((1, 3, 2), 3, 0)",0,3,1,-101
0,"((2, 1, 0), 1, 1)",3,1,1,-100
0,"((3, 1, 0), 1, 2)",1,1,1,-99
0,"((1, 0, 3), 2, 0)",0,2,1,-100
1,"((2, 3, 1), 3, 0)",2,3,0,-1
1,"((2, 0, 1), 2, 0)",1,2,0,-2
1,"((1, 2, 3), 1, 0)",0,1,0,-3
1,"((2, 1, 3), 1, 0)",2,1,0,-4
1,"((1, 2, 0), 2, 0)",3,2,0,-5
1,"((3, 2, 1), 0, 1)",1,0,0,-4
1,"((3, 1, 2), 3, 0)",0,3,0,-5
1,"((1, 2, 0), 1, 0)",1,1,0,-6
1,"((0, 2, 1), 2, 0)",0,2,0,-7
1,"((1, 2, 0), 0, 1)",0,0,0,-6
1,"((3, 0, 1), 2, 0)",0,2,0,-7
1,"((0, 1, 2), 1, 0)",0,1,0,-8
1,"((1, 2, 0), 0, 1)",0,0,0,-7
1,"((1, 3, 2), 0, 2)",1,0,2,-6
1,"((2, 3, 1), 2, 3)",2,2,2,-5
1,"((1, 0, 3), 3, 0)",0,3,2,-6
1,"((2, 1, 3), 2, 1)",3,2,2,-5
1,"((1, 2, 0), 1, 0)",1,1,2,-6
1,"((3, 0, 2), 0, 0)",1,0,2,-7
1,"((1, 0, 2), 2, 1)",2,2,2,-6
1,"((3, 2, 0), 2, 2)",2,2,2,-5
1,"((2, 1, 0), 2, 3)",0,2,2,-4
1,"((1, 3, 0), 2, 4)",0,2,0,-3
1,"((3, 0, 1), 2, 0)",0,2,0,-4
1,"((0, 1, 2), 2, 0)",1,2,0,-5
1,"((2, 3, 1), 0, 1)",0,0,0,-4
1,"((1, 0, 2), 2, 0)",1,2,0,-5
1,"((2, 3, 1), 0, 1)",1,0,0,-4
1,"((2, 0, 1), 0, 2)",2,0,0,-3
1,"((2, 3, 1), 1, 0)",0,1,0,-4
1,"((2, 0, 3), 2, 0)",1,2,0,-5
1,"((1, 2, 0), 3, 0)",1,3,0,-6
1,"((3, 1, 0), 3, 0)",3,3,0,-7
1,"((0, 2, 3), 2, 0)",0,2,0,-8
1,"((1, 0, 3), 3, 0)",1,3,0,-9
1,"((3, 1, 0), 2, 0)",3,2,0,-10
1,"((3, 0, 1), 2, 0)",0,2,0,-11
1,"((2, 3, 0), 3, 0)",2,3,0,-12
1,"((1, 3, 0), 3, 0)",1,3,0,-13
1,"((2, 3, 1), 2, 0)",0,2,0,-14
1,"((2, 1, 3), 1, 0)",3,1,0,-15
1,"((2, 1, 0), 0, 1)",2,0,0,-14
1,"((3, 0, 2), 1, 0)",1,1,0,-15
1,"((2, 1, 3), 1, 0)",0,1,0,-16
1,"((0, 3, 1), 0, 1)",2,0,0,-15
1,"((0, 2, 3), 0, 2)",0,0,0,-14
1,"((2, 0, 1), 0, 3)",0,0,0,-13
1,"((3, 2, 0), 1, 0)",0,1,0,-14
1,"((2, 0, 3), 2, 0)",0,2,0,-15
1,"((1, 2, 3), 0, 1)",2,0,0,-14
1,"((3, 2, 0), 0, 2)",1,0,0,-13
1,"((0, 2, 1), 2, 0)",0,2,0,-14
1,"((1, 2, 0), 0, 1)",0,0,0,-13
1,"((3, 2, 1), 0, 2)",1,0,2,-12
1,"((3, 2, 0), 3, 0)",0,3,2,-13
1,"((2, 0, 1), 3, 0)",1,3,2,-14
1,"((3, 1, 2), 2, 1)",1,2,2,-13
1,"((2, 1, 0), 1, 0)",1,1,2,-14
1,"((0, 3, 2), 2, 1)",0,2,2,-13
1,"((2, 3, 1), 3, 0)",1,3,2,-14
1,"((2, 0, 3), 0, 0)",2,0,2,-15
1,"((1, 0, 2), 2, 1)",3,2,2,-14
1,"((2, 1, 3), 2, 2)",2,2,2,-13
1,"((1, 2, 3), 3, 0)",0,3,2,-14
1,"((1, 2, 0), 3, 0)",0,3,2,-15
1,"((0, 2, 3), 3, 0)",3,3,2,-16
1,"((2, 1, 3), 3, 0)",1,3,2,-17
1,"((1, 0, 3), 1, 0)",1,1,2,-18
1,"((0, 2, 3), 1, 0)",0,1,2,-19
1,"((2, 3, 1), 1, 0)",2,1,2,-20
1,"((3, 1, 2), 2, 1)",1,2,2,-19
1,"((3, 1, 0), 2, 2)",2,2,0,-18
1,"((0, 1, 2), 2, 0)",0,2,0,-19
1,"((0, 3, 1), 0, 1)",0,0,0,-18
1,"((1, 0, 2), 0, 2)",0,0,0,-17
1,"((2, 0, 3), 1, 0)",0,1,0,-18
1,"((0, 1, 2), 0, 1)",2,0,0,-17
1,"((3, 2, 1), 0, 2)",0,0,1,-16
1,"((1, 0, 3), 2, 0)",1,2,1,-17
1,"((0, 3, 1), 2, 0)",3,2,1,-18
1,"((2, 1, 3), 0, 0)",0,0,1,-19
1,"((1, 3, 0), 0, 0)",2,0,1,-20
1,"((0, 1, 2), 2, 0)",0,2,1,-21
1,"((3, 2, 1), 2, 0)",2,2,1,-22
1,"((0, 3, 2), 3, 0)",0,3,1,-23
1,"((1, 2, 3), 2, 0)",2,2,1,-24
1,"((0, 3, 1), 1, 1)",2,1,1,-23
1,"((0, 2, 1), 2, 0)",1,2,1,-24
1,"((1, 2, 3), 0, 0)",0,0,1,-25
1,"((2, 1, 3), 2, 0)",3,2,1,-26
1,"((0, 2, 1), 1, 1)",1,1,1,-25
1,"((2, 1, 3), 1, 2)",2,1,0,-24
1,"((0, 2, 1), 3, 0)",0,3,0,-25
1,"((1, 0, 2), 2, 0)",1,2,0,-26
1,"((2, 0, 3), 0, 1)",1,0,0,-25
1,"((1, 0, 3), 1, 0)",0,1,0,-26
1,"((2, 3, 0), 0, 1)",1,0,0,-25
1,"((0, 2, 1), 2, 0)",0,2,0,-26
1,"((2, 3, 0), 0, 1)",0,0,0,-25
1,"((1, 0, 2), 3, 0)",1,3,0,-26
1,"((2, 3, 0), 2, 0)",2,2,0,-27
1,"((2, 0, 1), 3, 0)",1,3,0,-28
1,"((1, 2, 0), 2, 0)",1,2,0,-29
1,"((3, 1, 2), 0, 1)",1,0,0,-28
1,"((2, 1, 3), 3, 0)",0,3,0,-29
1,"((2, 0, 1), 0, 1)",2,0,0,-28
1,"((3, 2, 0), 1, 0)",0,1,0,-29
1,"((2, 1, 0), 3, 0)",1,3,0,-30
1,"((2, 0, 3), 2, 0)",0,2,0,-31
1,"((1, 0, 3), 0, 1)",2,0,0,-30
1,"((0, 1, 3), 1, 0)",0,1,0,-31
1,"((1, 0, 2), 1, 0)",1,1,0,-32
1,"((2, 3, 1), 0, 1)",1,0,0,-31
1,"((2, 3, 1), 0, 2)",2,0,1,-30
1,"((2, 0, 3), 3, 0)",0,3,1,-31
1,"((0, 1, 3), 0, 0)",2,0,1,-32
1,"((0, 1, 2), 1, 1)",1,1,1,-31
1,"((0, 3, 1), 0, 0)",0,0,1,-32
1,"((2, 0, 3), 2, 0)",1,2,1,-33
1,"((2, 0, 1), 0, 0)",2,0,1,-34
1,"((3, 2, 0), 2, 0)",1,2,1,-35
1,"((2, 3, 0), 3, 0)",1,3,1,-36
1,"((0, 1, 3), 0, 0)",2,0,1,-37
1,"((0, 2, 3), 1, 1)",1,1,1,-36
1,"((0, 3, 2), 3, 0)",1,3,1,-37
1,"((0, 3, 1), 1, 1)",3,1,1,-36
1,"((0, 2, 3), 3, 0)",2,3,1,-37
1,"((1, 0, 2), 1, 1)",2,1,1,-36
1,"((2, 1, 0), 1, 2)",0,1,1,-35
1,"((3, 0, 1), 3, 0)",3,3,1,-36
1,"((1, 0, 2), 2, 0)",1,2,1,-37
1,"((2, 1, 0), 0, 0)",1,0,1,-38
1,"((0, 2, 1), 3, 0)",3,3,1,-39
1,"((2, 1, 0), 2, 0)",1,2,1,-40
1,"((1, 2, 0), 2, 0)",0,2,1,-41
1,"((2, 0, 1), 0, 0)",1,0,1,-42
1,"((0, 1, 2), 0, 0)",2,0,1,-43
1,"((3, 1, 2), 2, 0)",2,2,1,-44
1,"((2, 0, 1), 1, 1)",1,1,1,-43
1,"((1, 3, 2), 1, 2)",0,1,1,-42
1,"((0, 3, 1), 3, 0)",0,3,1,-43
1,"((2, 1, 3), 2, 0)",1,2,1,-44
1,"((3, 2, 0), 1, 1)",1,1,1,-43
1,"((1, 2, 0), 2, 0)",0,2,1,-44
1,"((2, 0, 1), 0, 0)",1,0,1,-45
1,"((3, 2, 0), 3, 0)",3,3,1,-46
1,"((2, 0, 1), 0, 0)",3,0,1,-47
1,"((2, 1, 3), 1, 1)",0,1,1,-46
1,"((1, 3, 0), 1, 2)",1,1,0,-45
1,"((0, 3, 1), 2, 0)",0,2,0,-46
1,"((3, 2, 1), 3, 0)",2,3,0,-47
1,"((1, 3, 2), 1, 0)",2,1,0,-48
1,"((0, 1, 3), 0, 1)",1,0,0,-47
1,"((3, 2, 1), 0, 2)",0,0,0,-46
1,"((3, 2, 1), 1, 0)",2,1,0,-47
1,"((1, 2, 3), 3, 0)",0,3,0,-48
1,"((3, 0, 1), 0, 1)",1,0,0,-47
1,"((0, 1, 2), 2, 0)",1,2,0,-48
1,"((3, 2, 1), 0, 1)",0,0,0,-47
1,"((3, 2, 0), 2, 0)",1,2,0,-48
1,"((2, 1, 0), 1, 0)",2,1,0,-49
1,"((0, 3, 2), 2, 0)",0,2,0,-50
1,"((0, 2, 1), 0, 1)",0,0,0,-49
1,"((1, 0, 2), 0, 2)",0,0,0,-48
1,"((3, 0, 2), 0, 3)",1,0,0,-47
1,"((1, 3, 0), 1, 0)",0,1,0,-48
1,"((1, 2, 0), 3, 0)",2,3,0,-49
1,"((1, 2, 3), 1, 0)",2,1,0,-50
1,"((3, 0, 1), 2, 0)",3,2,0,-51
1,"((2, 1, 3), 0, 1)",3,0,0,-50
1,"((3, 1, 0), 3, 0)",0,3,0,-51
1,"((3, 1, 0), 1, 0)",1,1,0,-52
1,"((1, 0, 2), 1, 0)",1,1,0,-53
1,"((2, 1, 0), 0, 1)",1,0,0,-52
1,"((3, 0, 2), 2, 0)",0,2,0,-53
1,"((3, 2, 0), 3, 0)",1,3,0,-54
1,"((3, 2, 0), 1, 0)",2,1,0,-55
1,"((2, 3, 1), 1, 0)",2,1,0,-56
1,"((2, 3, 0), 2, 0)",1,2,0,-57
1,"((2, 3, 0), 1, 0)",3,1,0,-58
1,"((3, 0, 1), 1, 0)",3,1,0,-59
1,"((0, 2, 1), 2, 0)",1,2,0,-60
1,"((3, 2, 1), 0, 1)",0,0,0,-59
1,"((2, 3, 0), 1, 0)",2,1,0,-60
1,"((1, 0, 3), 1, 0)",3,1,0,-61
1,"((1, 3, 0), 0, 1)",1,0,0,-60
1,"((3, 1, 2), 0, 2)",1,0,2,-59
1,"((2, 1, 3), 3, 0)",0,3,2,-60
1,"((3, 1, 0), 0, 0)",2,0,2,-61
1,"((2, 0, 3), 2, 1)",0,2,2,-60
1,"((1, 0, 2), 2, 2)",3,2,2,-59
1,"((2, 3, 0), 1, 0)",0,1,2,-60
1,"((2, 0, 1), 2, 1)",0,2,2,-59
1,"((0, 1, 3), 2, 2)",1,2,2,-58
1,"((2, 1, 0), 0, 0)",0,0,2,-59
1,"((1, 0, 3), 3, 0)",3,3,2,-60
1,"((0, 1, 2), 1, 0)",0,1,2,-61
1,"((3, 0, 2), 0, 0)",0,0,2,-62
1,"((2, 3, 1), 2, 1)",2,2,2,-61
1,"((2, 1, 3), 2, 2)",1,2,0,-60
1,"((2, 0, 1), 1, 0)",1,1,0,-61
1,"((2, 1, 3), 2, 0)",1,2,0,-62
1,"((2, 1, 0), 1, 0)",1,1,0,-63
1,"((0, 3, 2), 2, 0)",0,2,0,-64
1,"((0, 1, 3), 0, 1)",0,0,0,-63
1,"((1, 0, 3), 0, 2)",0,0,0,-62
1,"((3, 1, 2), 1, 0)",0,1,0,-63
1,"((0, 3, 1), 0, 1)",3,0,0,-62
1,"((2, 3, 0), 0, 2)",0,0,0,-61
1,"((2, 1, 3), 0, 3)",2,0,2,-60
1,"((1, 3, 2), 3, 0)",0,3,2,-61
1,"((1, 0, 2), 1, 0)",3,1,2,-62
1,"((1, 3, 0), 0, 0)",1,0,2,-63
1,"((1, 0, 3), 2, 1)",0,2,2,-62
1,"((1, 3, 2), 2, 2)",3,2,2,-61
1,"((0, 1, 2), 3, 0)",0,3,2,-62
1,"((1, 3, 0), 1, 0)",1,1,2,-63
1,"((3, 0, 2), 2, 1)",0,2,2,-62
1,"((1, 3, 2), 3, 0)",1,3,2,-63
1,"((2, 0, 1), 1, 0)",3,1,2,-64
1,"((0, 2, 1), 0, 0)",2,0,2,-65
1,"((0, 1, 3), 0, 0)",0,0,2,-66
1,"((2, 1, 3), 1, 0)",1,1,2,-67
1,"((0, 2, 3), 0, 0)",2,0,2,-68
1,"((1, 2, 3), 2, 1)",3,2,2,-67
1,"((0, 1, 3), 1, 0)",2,1,2,-68
1,"((2, 0, 3), 0, 0)",0,0,2,-69
1,"((1, 0, 3), 2, 1)",3,2,2,-68
1,"((1, 2, 3), 2, 2)",3,2,2,-67
1,"((1, 0, 2), 3, 0)",0,3,2,-68
1,"((2, 1, 0), 3, 0)",3,3,2,-69
1,"((3, 1, 0), 1, 0)",1,1,2,-70
1,"((2, 3, 1), 3, 0)",2,3,2,-71
1,"((3, 2, 1), 1, 0)",3,1,2,-72
1,"((2, 0, 1), 2, 1)",1,2,2,-71
1,"((2, 3, 1), 2, 2)",1,2,1,-70
1,"((2, 3, 1), 0, 0)",2,0,1,-71
1,"((2, 3, 0), 2, 0)",1,2,1,-72
1,"((3, 2, 0), 0, 0)",2,0,1,-73
1,"((1, 0, 3), 2, 0)",0,2,1,-74
1,"((3, 1, 0), 1, 1)",0,1,1,-73
1,"((1, 0, 2), 2, 0)",0,2,1,-74
1,"((1, 0, 2), 0, 0)",1,0,1,-75
1,"((3, 0, 1), 0, 0)",1,0,1,-76
1,"((0, 2, 1), 2, 0)",1,2,1,-77
1,"((1, 0, 2), 0, 0)",0,0,1,-78
1,"((2, 0, 1), 2, 0)",2,2,1,-79
