episode,state,action,agent_rule,env_rule,cum_return
0,"[2, 3, 0, 0, 0]",1,0,1,-1
0,"[0, 1, 3, 2, 0]",0,2,1,-2
0,"[0, 2, 1, 1, 1]",1,1,1,-1
0,"[1, 2, 0, 3, 0]",3,3,1,-2
0,"[2, 0, 1, 3, 0]",3,3,1,-3
0,"[0, 3, 1, 3, 0]",3,3,1,-4
0,"[1, 2, 3, 1, 1]",3,1,1,-3
0,"[2, 0, 1, 2, 0]",3,2,1,-4
0,"[2, 3, 0, 1, 1]",0,1,1,-3
0,"[3, 0, 2, 1, 2]",3,1,1,-2
0,"[2, 0, 3, 1, 3]",0,1,2,-1
0,"[0, 3, 1, 1, 0]",0,1,2,-2
0,"[2, 0, 3, 2, 1]",1,2,2,-1
0,"[0, 2, 3, 3, 0]",1,3,2,-2
0,"[1, 0, 2, 3, 0]",1,3,2,-3
0,"[2, 1, 3, 2, 1]",2,2,2,-2
0,"[1, 3, 2, 0, 0]",2,0,2,-3
0,"[0, 2, 1, 2, 1]",2,2,2,-2
0,"[1, 3, 0, 1, 0]",2,1,2,-3
0,"[2, 3, 0, 3, 0]",2,3,2,-4
0,"[0, 2, 1, 2, 1]",0,2,2,-3
0,"[0, 3, 1, 1, 0]",2,1,2,-4
0,"[0, 3, 1, 2, 1]",1,2,2,-3
0,"[0, 3, 2, 2, 2]",1,2,2,-2
0,"[3, 2, 0, 2, 3]",2,2,2,-1
0,"[3, 0, 2, 1, 0]",2,1,2,-2
0,"[3, 2, 0, 1, 0]",0,1,2,-3
0,"[0, 1, 2, 2, 1]",0,2,2,-2
0,"[2, 3, 0, 0, 0]",0,0,2,-3
0,"[1, 2, 3, 1, 0]",3,1,2,-4
0,"[2, 3, 1, 0, 0]",1,0,2,-5
0,"[1, 2, 0, 2, 1]",1,2,2,-4
0,"[3, 1, 0, 2, 2]",0,2,2,-3
0,"[3, 2, 1, 2, 3]",0,2,0,-2
0,"[1, 2, 0, 3, 0]",0,3,0,-3
0,"[2, 1, 3, 2, 0]",0,2,0,-4
0,"[2, 0, 1, 3, 0]",0,3,0,-5
0,"[1, 2, 3, 1, 0]",0,1,0,-6
0,"[3, 1, 0, 1, 0]",2,1,0,-7
0,"[2, 1, 0, 2, 0]",0,2,0,-8
0,"[3, 0, 1, 2, 0]",0,2,0,-9
0,"[3, 0, 2, 1, 0]",0,1,0,-10
0,"[0, 2, 3, 1, 0]",0,1,0,-11
0,"[3, 1, 0, 3, 0]",1,3,0,-12
0,"[0, 1, 2, 2, 0]",0,2,0,-13
0,"[1, 0, 3, 2, 0]",2,2,0,-14
0,"[1, 0, 3, 3, 0]",2,3,0,-15
0,"[3, 2, 1, 3, 0]",2,3,0,-16
0,"[0, 3, 2, 0, 1]",3,0,0,-15
0,"[2, 0, 1, 3, 0]",1,3,0,-16
0,"[0, 1, 2, 0, 1]",2,0,0,-15
0,"[0, 2, 1, 1, 0]",1,1,0,-16
0,"[1, 3, 0, 2, 0]",1,2,0,-17
0,"[1, 2, 3, 1, 0]",3,1,0,-18
0,"[3, 0, 2, 0, 1]",1,0,0,-17
0,"[2, 3, 1, 0, 2]",3,0,2,-16
0,"[2, 0, 1, 2, 3]",1,2,2,-15
0,"[1, 0, 3, 3, 0]",3,3,2,-16
0,"[2, 0, 3, 0, 0]",1,0,2,-17
0,"[1, 0, 2, 0, 0]",2,0,2,-18
0,"[2, 1, 0, 2, 1]",2,2,2,-17
0,"[2, 3, 0, 3, 0]",3,3,2,-18
0,"[0, 2, 1, 1, 0]",3,1,2,-19
0,"[3, 1, 2, 3, 0]",3,3,2,-20
0,"[2, 3, 1, 3, 0]",0,3,2,-21
0,"[3, 2, 1, 1, 0]",3,1,2,-22
0,"[1, 3, 2, 3, 0]",0,3,2,-23
0,"[2, 3, 0, 0, 0]",1,0,2,-24
0,"[3, 2, 1, 3, 0]",1,3,2,-25
0,"[3, 1, 0, 3, 0]",0,3,2,-26
0,"[2, 0, 3, 2, 1]",0,2,2,-25
0,"[2, 0, 3, 1, 0]",0,1,2,-26
0,"[2, 1, 3, 0, 0]",2,0,2,-27
0,"[0, 1, 3, 0, 0]",2,0,2,-28
0,"[1, 0, 3, 3, 0]",2,3,2,-29
0,"[3, 1, 2, 3, 0]",2,3,2,-30
0,"[3, 0, 2, 2, 1]",2,2,2,-29
0,"[3, 1, 2, 1, 0]",0,1,2,-30
0,"[2, 0, 3, 2, 1]",2,2,2,-29
0,"[0, 2, 3, 0, 0]",2,0,2,-30
0,"[3, 1, 0, 1, 0]",2,1,2,-31
0,"[3, 2, 0, 2, 1]",0,2,2,-30
0,"[0, 3, 1, 2, 2]",0,2,2,-29
0,"[0, 2, 3, 2, 3]",1,2,1,-28
0,"[0, 2, 3, 1, 4]",2,1,0,-27
0,"[3, 0, 2, 1, 0]",2,1,0,-28
0,"[1, 2, 0, 2, 0]",2,2,0,-29
0,"[0, 2, 1, 2, 0]",0,2,0,-30
0,"[3, 1, 2, 2, 0]",1,2,0,-31
0,"[0, 1, 2, 2, 0]",2,2,0,-32
0,"[0, 2, 1, 2, 0]",2,2,0,-33
0,"[0, 3, 1, 0, 1]",0,0,0,-32
0,"[0, 2, 3, 3, 0]",2,3,0,-33
0,"[2, 3, 0, 1, 0]",2,1,0,-34
0,"[3, 0, 2, 3, 0]",1,3,0,-35
0,"[3, 1, 2, 1, 0]",0,1,0,-36
0,"[0, 3, 1, 3, 0]",0,3,0,-37
0,"[2, 1, 3, 0, 1]",0,0,0,-36
0,"[3, 2, 0, 0, 2]",2,0,0,-35
0,"[0, 1, 3, 2, 0]",0,2,0,-36
0,"[2, 3, 0, 1, 0]",1,1,0,-37
0,"[1, 0, 2, 3, 0]",1,3,0,-38
0,"[2, 0, 3, 2, 0]",2,2,0,-39
0,"[2, 1, 3, 0, 1]",2,0,0,-38
0,"[1, 0, 3, 0, 2]",2,0,0,-37
0,"[1, 0, 2, 0, 3]",1,0,0,-36
0,"[1, 2, 0, 0, 4]",1,0,1,-35
0,"[2, 0, 1, 0, 0]",1,0,1,-36
0,"[0, 2, 3, 3, 0]",3,3,1,-37
0,"[2, 3, 1, 3, 0]",1,3,1,-38
0,"[3, 2, 0, 3, 0]",0,3,1,-39
0,"[1, 0, 2, 2, 0]",0,2,1,-40
0,"[3, 2, 1, 2, 0]",2,2,1,-41
0,"[1, 3, 0, 1, 1]",2,1,1,-40
0,"[2, 1, 3, 0, 0]",1,0,1,-41
0,"[1, 0, 3, 0, 0]",2,0,1,-42
0,"[3, 1, 0, 3, 0]",2,3,1,-43
0,"[2, 3, 1, 3, 0]",2,3,1,-44
0,"[0, 2, 3, 1, 1]",3,1,1,-43
0,"[3, 1, 0, 1, 2]",2,1,1,-42
0,"[3, 2, 1, 0, 0]",3,0,1,-43
0,"[3, 1, 0, 1, 1]",2,1,1,-42
0,"[0, 3, 2, 0, 0]",3,0,1,-43
0,"[2, 0, 3, 2, 0]",2,2,1,-44
0,"[2, 3, 1, 0, 0]",2,0,1,-45
0,"[3, 0, 2, 0, 0]",2,0,1,-46
0,"[2, 0, 3, 0, 0]",3,0,1,-47
0,"[1, 2, 0, 2, 0]",3,2,1,-48
0,"[0, 1, 3, 2, 0]",0,2,1,-49
0,"[2, 3, 1, 2, 0]",3,2,1,-50
0,"[0, 1, 2, 1, 1]",3,1,1,-49
0,"[0, 1, 2, 1, 2]",1,1,2,-48
0,"[2, 0, 1, 1, 0]",1,1,2,-49
0,"[3, 0, 1, 0, 0]",2,0,2,-50
0,"[3, 0, 2, 0, 0]",3,0,2,-51
0,"[3, 1, 2, 0, 0]",3,0,2,-52
0,"[3, 0, 2, 2, 1]",2,2,2,-51
0,"[2, 0, 1, 2, 2]",2,2,2,-50
0,"[2, 3, 0, 1, 0]",0,1,2,-51
0,"[2, 1, 0, 2, 1]",0,2,2,-50
0,"[3, 1, 2, 2, 2]",0,2,1,-49
0,"[3, 1, 2, 2, 0]",2,2,1,-50
0,"[3, 1, 2, 2, 0]",2,2,1,-51
0,"[1, 0, 2, 2, 0]",2,2,1,-52
0,"[1, 2, 3, 1, 1]",0,1,1,-51
0,"[3, 1, 0, 1, 2]",2,1,0,-50
0,"[1, 2, 3, 2, 0]",0,2,0,-51
0,"[1, 3, 2, 1, 0]",2,1,0,-52
0,"[0, 2, 1, 0, 1]",1,0,0,-51
0,"[0, 2, 1, 2, 0]",1,2,0,-52
0,"[0, 2, 1, 3, 0]",3,3,0,-53
0,"[2, 3, 0, 3, 0]",3,3,0,-54
0,"[0, 2, 3, 0, 1]",2,0,0,-53
0,"[3, 2, 0, 1, 0]",2,1,0,-54
0,"[3, 1, 0, 1, 0]",2,1,0,-55
0,"[1, 0, 2, 3, 0]",2,3,0,-56
0,"[0, 3, 1, 2, 0]",2,2,0,-57
0,"[2, 1, 3, 1, 0]",3,1,0,-58
0,"[3, 2, 0, 0, 1]",2,0,0,-57
0,"[2, 1, 0, 0, 2]",3,0,1,-56
0,"[0, 1, 2, 2, 0]",0,2,1,-57
0,"[2, 3, 0, 0, 0]",0,0,1,-58
0,"[2, 3, 0, 3, 0]",1,3,1,-59
0,"[0, 3, 2, 2, 0]",0,2,1,-60
0,"[1, 0, 3, 3, 0]",1,3,1,-61
0,"[1, 2, 0, 1, 1]",0,1,1,-60
0,"[0, 3, 1, 2, 0]",0,2,1,-61
0,"[3, 1, 2, 0, 0]",0,0,1,-62
0,"[0, 2, 3, 1, 1]",1,1,1,-61
0,"[0, 2, 3, 3, 0]",1,3,1,-62
0,"[1, 2, 3, 2, 0]",3,2,1,-63
0,"[1, 0, 2, 0, 0]",1,0,1,-64
0,"[3, 0, 2, 0, 0]",1,0,1,-65
0,"[0, 3, 1, 3, 0]",1,3,1,-66
0,"[0, 1, 3, 0, 0]",0,0,1,-67
0,"[3, 2, 0, 1, 1]",1,1,1,-66
0,"[2, 3, 0, 1, 2]",2,1,0,-65
0,"[2, 1, 3, 1, 0]",3,1,0,-66
0,"[0, 2, 1, 1, 0]",1,1,0,-67
0,"[2, 3, 0, 2, 0]",1,2,0,-68
0,"[1, 2, 3, 2, 0]",0,2,0,-69
0,"[0, 2, 1, 0, 1]",1,0,0,-68
0,"[2, 1, 3, 2, 0]",1,2,0,-69
0,"[0, 3, 1, 1, 0]",1,1,0,-70
0,"[2, 3, 1, 2, 0]",1,2,0,-71
0,"[3, 0, 2, 0, 1]",2,0,0,-70
0,"[2, 3, 1, 2, 0]",2,2,0,-71
0,"[0, 2, 1, 0, 1]",2,0,0,-70
0,"[3, 0, 2, 2, 0]",1,2,0,-71
0,"[2, 3, 0, 2, 0]",2,2,0,-72
0,"[1, 2, 3, 0, 1]",2,0,0,-71
0,"[1, 2, 3, 1, 0]",2,1,0,-72
0,"[0, 1, 3, 0, 1]",1,0,0,-71
0,"[2, 0, 3, 1, 0]",1,1,0,-72
0,"[1, 3, 0, 0, 1]",2,0,0,-71
0,"[0, 2, 3, 0, 2]",1,0,0,-70
0,"[2, 0, 3, 3, 0]",1,3,0,-71
0,"[3, 1, 2, 0, 1]",2,0,0,-70
0,"[0, 3, 1, 2, 0]",2,2,0,-71
0,"[1, 2, 3, 2, 0]",1,2,0,-72
0,"[3, 2, 1, 0, 1]",1,0,0,-71
0,"[1, 2, 0, 1, 0]",2,1,0,-72
0,"[0, 1, 2, 2, 0]",0,2,0,-73
0,"[0, 2, 1, 3, 0]",3,3,0,-74
0,"[2, 3, 1, 3, 0]",3,3,0,-75
0,"[0, 3, 1, 0, 1]",2,0,0,-74
0,"[2, 0, 1, 2, 0]",1,2,0,-75
0,"[2, 0, 1, 0, 1]",2,0,0,-74
0,"[1, 3, 0, 0, 2]",2,0,0,-73
0,"[2, 1, 0, 0, 3]",1,0,1,-72
0,"[1, 3, 2, 0, 0]",2,0,1,-73
0,"[1, 0, 2, 3, 0]",0,3,1,-74
0,"[1, 0, 3, 1, 1]",0,1,1,-73
0,"[2, 3, 0, 0, 0]",1,0,1,-74
0,"[0, 3, 1, 0, 0]",2,0,1,-75
0,"[3, 0, 2, 2, 0]",1,2,1,-76
0,"[0, 2, 3, 2, 0]",2,2,1,-77
0,"[0, 1, 3, 3, 0]",1,3,1,-78
0,"[1, 3, 0, 1, 1]",1,1,1,-77
0,"[0, 3, 1, 0, 0]",1,0,1,-78
0,"[0, 1, 3, 2, 0]",1,2,1,-79
0,"[3, 0, 1, 1, 1]",1,1,1,-78
0,"[2, 0, 3, 3, 0]",2,3,1,-79
0,"[3, 2, 0, 2, 0]",3,2,1,-80
0,"[1, 2, 3, 1, 1]",2,1,1,-79
0,"[1, 0, 3, 1, 2]",2,1,0,-78
0,"[1, 0, 3, 3, 0]",2,3,0,-79
0,"[2, 0, 3, 0, 1]",1,0,0,-78
0,"[1, 2, 3, 0, 2]",2,0,0,-77
0,"[2, 1, 3, 1, 0]",2,1,0,-78
0,"[0, 2, 1, 0, 1]",2,0,0,-77
0,"[3, 2, 0, 1, 0]",2,1,0,-78
0,"[0, 3, 2, 1, 0]",2,1,0,-79
0,"[1, 3, 0, 2, 0]",2,2,0,-80
0,"[0, 2, 1, 3, 0]",2,3,0,-81
0,"[2, 1, 0, 0, 1]",0,0,0,-80
0,"[1, 2, 0, 2, 0]",0,2,0,-81
0,"[1, 3, 2, 1, 0]",2,1,0,-82
0,"[2, 0, 3, 2, 0]",2,2,0,-83
0,"[1, 3, 2, 0, 1]",2,0,0,-82
